id,city.id.$numberLong,city.name,city.findname,city.country,city.coord.lon,city.coord.lat,city.zoom.$numberLong,id.$numberLong
,111421,Zarand,ZARAND,IR,56.563992,30.81271,8,111421
111453,111453,Zanjan,ZANJAN,IR,48.478699,36.673599,7,
111822,111822,Yazd,YAZD,IR,54.3675,31.897221,7,
,112214,Varamin,VARAMIN,IR,51.645699,35.3242,10,112214
112646,112646,Torbat-e Heydariyeh,TORBAT-E HEYDARIYEH,IR,59.21949,35.27401,7,
,112656,Tonekabon,TONEKABON,IR,50.87376,36.816261,9,112656
112931,112931,Tehran,TEHRAN,IR,51.421509,35.694389,1,
,113343,Hashtpar,HASHTPAR,IR,48.903702,37.8008,9,113343
,113491,Takestan,TAKESTAN,IR,49.6959,36.069599,9,113491
,113508,Takab,TAKAB,IR,47.1133,36.400902,8,113508
,113632,Taft,TAFT,IR,54.20882,31.747101,10,113632
113646,113646,Tabriz,TABRIZ,IR,46.291901,38.080002,7,
,113659,Tabas,TABAS,IR,56.92437,33.59586,7,113659
,114049,Sonqor,SONQOR,IR,47.600399,34.783699,9,114049
114259,114259,Sirjan,SIRJAN,IR,55.6814,29.452,5,
114584,114584,Shushtar,SHUSHTAR,IR,48.856701,32.045502,9,
,114593,Shush,SHUSH,IR,48.243599,32.194199,8,114593
115019,115019,Shiraz,SHIRAZ,IR,52.538799,29.6036,6,
115770,115770,Shahr-e Kord,SHAHR-E KORD,IR,50.864441,32.325562,8,
115781,115781,Shahr-e Babak,SHAHR-E BABAK,IR,55.118599,30.116501,8,
,116102,Shadegan,SHADEGAN,IR,48.664719,30.649719,9,116102
116402,116402,Semnan,SEMNAN,IR,53.397141,35.57291,8,
116406,116406,Semirom,SEMIROM,IR,51.566669,31.41667,8,
116667,116667,Saveh,SAVEH,IR,50.356602,35.021301,8,
116996,116996,Shari-i-Tajan,SHARI-I-TAJAN,IR,53.060089,36.56332,7,
,117392,Saqqez,SAQQEZ,IR,46.273499,36.24992,8,117392
117574,117574,Sanandaj,SANANDAJ,IR,46.992298,35.3144,7,
117656,117656,Salmas,SALMAS,IR,44.765301,38.1973,9,
,117793,Shahin Dezh,SHAHIN DEZH,IR,46.566898,36.679298,9,117793
,118063,Sabzevar,SABZEVAR,IR,57.681911,36.212601,7,118063
,118191,Rudsar,RUDSAR,IR,50.287998,37.137611,9,118191
118367,118367,Robat Karim,ROBAT KARIM,IR,51.082901,35.4846,10,
118704,118704,Ravar,RAVAR,IR,56.80545,31.265619,9,
118743,118743,Rasht,RASHT,IR,49.583191,37.280769,6,
,118805,Ramshir,RAMSHIR,IR,49.409199,30.8946,9,118805
,118826,Ramhormoz,RAMHORMOZ,IR,49.603512,31.27997,8,118826
118994,118994,Rafsanjan,RAFSANJAN,IR,55.9939,30.4067,8,
,119115,Quchan,QUCHAN,IR,58.509548,37.105999,8,119115
119161,119161,Qorveh,QORVEH,IR,47.804501,35.166401,9,
119208,119208,Qom,QOM,IR,50.8764,34.640099,8,
119374,119374,Qeshm,QESHM,IR,56.2719,26.958099,10,
119505,119505,Qazvin,QAZVIN,IR,50.004902,36.279701,9,
,119730,Qarah Zia od Din,QARAH ZIA OD DIN,IR,45.025501,38.891499,9,119730
,120678,Farrokh Shahr,FARROKH SHAHR,IR,50.98008,32.27174,9,120678
,120694,Qayen,QAYEN,IR,59.184391,33.72654,8,120694
,120931,Sarpol-e Zahab,SARPOL-E ZAHAB,IR,45.86264,34.46109,8,120931
,120972,Pishva,PISHVA,IR,51.7267,35.307999,10,120972
,121110,Piranshahr,PIRANSHAHR,IR,45.1413,36.701,9,121110
,121240,Paveh,PAVEH,IR,46.356499,35.0434,9,121240
121380,121380,Parsabad,PARSABAD,IR,47.9174,39.648201,7,
,121795,Oshnaviyeh,OSHNAVIYEH,IR,45.098301,37.0397,10,121795
,121801,Orumiyeh,ORUMIYEH,IR,45.07605,37.552738,7,121801
121861,121861,Omidiyeh,OMIDIYEH,IR,49.705002,30.75972,9,
,121925,Nurabad,NURABAD,IR,51.52174,30.11405,8,121925
121959,121959,Now Shahr,NOW SHAHR,IR,51.495998,36.648998,12,
122285,122285,Neyshabur,NEYSHABUR,IR,58.795761,36.213291,9,
,122289,Neyriz,NEYRIZ,IR,54.327801,29.198799,9,122289
122397,122397,Neka,NEKA,IR,53.299049,36.650791,10,
,122438,Nazarabad,NAZARABAD,IR,50.607498,35.952099,9,122438
,122698,Naqadeh,NAQADEH,IR,45.388,36.955299,8,122698
,122915,Nahavand,NAHAVAND,IR,48.376999,34.188499,9,122915
,123941,Minab,MINAB,IR,57.080101,27.1467,7,123941
124085,124085,Miandowab,MIANDOWAB,IR,46.102699,36.969398,9,
,124193,Meybod,MEYBOD,IR,54.016579,32.250141,12,124193
,124274,Mehriz,MEHRIZ,IR,54.431782,31.591681,8,124274
,124620,Masjed Soleyman,MASJED SOLEYMAN,IR,49.303902,31.936399,8,124620
,124647,Bardsir,BARDSIR,IR,56.574341,29.922661,9,124647
124665,124665,Mashhad,MASHHAD,IR,59.606201,36.297001,4,
124862,124862,Marand,MARAND,IR,45.774899,38.432899,8,
,125185,Malayer,MALAYER,IR,48.823502,34.296902,8,125185
,125188,Malard,MALARD,IR,50.9767,35.665901,12,125188
,125446,Mahabad,MAHABAD,IR,45.722198,36.7631,9,125446
125897,125897,Langerud,LANGERUD,IR,50.153511,37.19701,9,
126409,126409,Kuhdasht,KUHDASHT,IR,47.606098,33.535,8,
,126914,Kish,KISH,IR,54.01944,26.557779,8,126914
126972,126972,Khvoy,KHVOY,IR,44.952099,38.550301,7,
,127033,Khvansar,KHVANSAR,IR,50.314968,33.22052,10,127033
127319,127319,Khorramshahr,KHORRAMSHAHR,IR,48.166401,30.439699,10,
127349,127349,Khorramabad,KHORRAMABAD,IR,48.355831,33.487782,7,
,127403,Khomeyn,KHOMEYN,IR,50.078899,33.642262,9,127403
,128008,Herowabad,HEROWABAD,IR,48.525799,37.6189,7,128008
128226,128226,Kermanshah,KERMANSHAH,IR,47.064999,34.314171,7,
128234,128234,Kerman,KERMAN,IR,57.078789,30.283211,5,
128321,128321,Kazerun,KAZERUN,IR,51.654148,29.61949,9,
,128447,Kashmar,KASHMAR,IR,58.46558,35.238312,8,128447
,128477,Kashan,KASHAN,IR,51.43644,33.983082,7,128477
128747,128747,Karaj,KARAJ,IR,51.0103,35.835499,8,
128831,128831,Kangavar,KANGAVAR,IR,47.965302,34.504299,9,
,128905,Kamyaran,KAMYARAN,IR,46.935501,34.795601,8,128905
129512,129512,Kalaleh,KALALEH,IR,55.491638,37.380711,9,
129933,129933,Juybar,JUYBAR,IR,52.912441,36.641151,10,
,130245,Javanrud,JAVANRUD,IR,46.51722,34.796108,9,130245
130802,130802,Ilam,ILAM,IR,46.422699,33.637402,8,
,131962,Harsin,HARSIN,IR,47.586102,34.272099,9,131962
132144,132144,Hamadan,HAMADAN,IR,48.514561,34.799221,8,
132892,132892,Gorgan,GORGAN,IR,54.43475,36.838661,6,
132938,132938,Gonbad-e Qabus,GONBAD-E QABUS,IR,55.16721,37.250038,6,
,132961,Gonabad,GONABAD,IR,58.683651,34.352859,8,132961
,133037,Golpayegan,GOLPAYEGAN,IR,50.288361,33.453701,10,133037
,133595,Gerash,GERASH,IR,54.1371,27.665199,8,133595
,134217,Bandar-e Ganaveh,BANDAR-E GANAVEH,IR,50.516998,29.5791,8,134217
,134518,Firuzabad,FIRUZABAD,IR,52.570702,28.8438,9,134518
,134602,Fereydun Kenar,FEREYDUN KENAR,IR,52.522549,36.68642,11,134602
134721,134721,Fasa,FASA,IR,53.648201,28.938299,8,
,134762,Farsan,FARSAN,IR,50.560959,32.256939,10,134762
,135298,Esfarayen,ESFARAYEN,IR,57.51009,37.07645,9,135298
,135423,Shahrud,SHAHRUD,IR,54.97628,36.41819,8,135423
,136014,Do Gonbadan,DO GONBADAN,IR,50.7981,30.358601,6,136014
,136399,Delijan,DELIJAN,IR,50.6838,33.990501,8,136399
,136702,Dehloran,DEHLORAN,IR,47.267899,32.694099,8,136702
,136987,Dehdasht,DEHDASHT,IR,50.564579,30.794901,9,136987
137268,137268,Susangerd,SUSANGERD,IR,48.183102,31.560801,9,
,137956,Darab,DARAB,IR,54.544441,28.75194,7,137956
,138025,Damghan,DAMGHAN,IR,54.348,36.168301,8,138025
,138042,Damavand,DAMAVAND,IR,52.064999,35.717781,9,138042
,138742,Chenaran,CHENARAN,IR,59.121231,36.645458,9,138742
,139223,Chalus,CHALUS,IR,51.420399,36.654999,7,139223
139817,139817,Bandar Bushehr,BANDAR BUSHEHR,IR,50.838501,28.968399,7,
,139889,Bukan,BUKAN,IR,46.2089,36.521,8,139889
,140044,Borujerd,BORUJERD,IR,48.751598,33.897301,9,140044
,140046,Borujen,BORUJEN,IR,51.2873,31.965231,9,140046
,140097,Borazjan,BORAZJAN,IR,51.2159,29.2666,9,140097
140380,140380,Bojnurd,BOJNURD,IR,57.329029,37.474731,8,
,140463,Birjand,BIRJAND,IR,59.221142,32.86628,4,140463
,140521,Bijar,BIJAR,IR,47.605061,35.866798,8,140521
,140889,Bonab,BONAB,IR,46.056099,37.340401,8,140889
140918,140918,Behshahr,BEHSHAHR,IR,53.55262,36.692348,9,
,140951,Behbahan,BEHBAHAN,IR,50.241699,30.5959,8,140951
